frame,t_sec,pairing,source,x1,y1,x2,y2,score
0,0.0,A,scrfd,1746.5,168.6,2123.2,638.1,0.879
0,0.0,A,scrfd,531.3,624.9,864.4,1044.6,0.811
0,0.0,A,scrfd,2911.3,550.8,3230.6,1021.6,0.769
0,0.0,A,scrfd,3056.4,684.8,3344.8,1207.6,0.608
0,0.0,B,both_agree,1746.5,168.6,2123.2,638.1,0.879
0,0.0,B,both_agree,531.3,624.9,864.4,1044.6,0.811
0,0.0,B,both_agree,2911.3,550.8,3230.6,1021.6,0.769
0,0.0,B,both_agree,3056.4,684.8,3344.8,1207.6,0.608
1,0.04,A,scrfd,1746.6,168.9,2122.8,639.3,0.878
1,0.04,A,scrfd,531.8,625.5,864.4,1044.3,0.813
1,0.04,A,scrfd,2905.1,550.3,3233.3,1017.9,0.8
1,0.04,A,scrfd,3058.1,681.4,3349.7,1202.1,0.575
1,0.04,B,both_agree,1746.6,168.9,2122.8,639.3,0.878
1,0.04,B,both_agree,531.8,625.5,864.4,1044.3,0.813
1,0.04,B,both_agree,2905.1,550.3,3233.3,1017.9,0.8
1,0.04,B,both_agree,3058.1,681.4,3349.7,1202.1,0.575
2,0.08,A,scrfd,1746.9,171.1,2122.7,640.9,0.875
2,0.08,A,scrfd,531.9,626.1,864.8,1045.1,0.809
2,0.08,A,scrfd,2896.1,550.5,3227.4,1012.9,0.801
2,0.08,A,scrfd,3061.6,675.8,3352.9,1200.8,0.601
2,0.08,B,both_agree,1746.9,171.1,2122.7,640.9,0.875
2,0.08,B,both_agree,531.9,626.1,864.8,1045.1,0.809
2,0.08,B,both_agree,2896.1,550.5,3227.4,1012.9,0.801
2,0.08,B,both_agree,3061.6,675.8,3352.9,1200.8,0.601
3,0.12,A,scrfd,1746.8,170.7,2122.7,642.0,0.876
3,0.12,A,scrfd,532.3,626.9,864.9,1045.4,0.808
3,0.12,A,scrfd,2893.8,546.0,3216.9,1010.6,0.796
3,0.12,A,scrfd,3068.1,678.1,3358.9,1197.1,0.609
3,0.12,B,both_agree,1746.8,170.7,2122.7,642.0,0.876
3,0.12,B,both_agree,532.3,626.9,864.9,1045.4,0.808
3,0.12,B,both_agree,2893.8,546.0,3216.9,1010.6,0.796
3,0.12,B,both_agree,3068.1,678.1,3358.9,1197.1,0.609
4,0.16,A,scrfd,1747.2,169.9,2123.1,642.9,0.876
4,0.16,A,scrfd,532.6,628.1,864.9,1045.6,0.806
4,0.16,A,scrfd,2889.2,545.7,3203.7,1008.1,0.783
4,0.16,A,scrfd,3069.2,676.6,3359.7,1193.4,0.602
4,0.16,B,both_agree,1747.2,169.9,2123.1,642.9,0.876
4,0.16,B,both_agree,532.6,628.1,864.9,1045.6,0.806
4,0.16,B,both_agree,2889.2,545.7,3203.7,1008.1,0.783
4,0.16,B,both_agree,3069.2,676.6,3359.7,1193.4,0.602
5,0.2,A,scrfd,1747.3,172.0,2122.9,643.2,0.877
5,0.2,A,scrfd,532.7,628.5,864.9,1046.6,0.802
5,0.2,A,scrfd,2882.6,545.9,3192.3,1007.0,0.776
5,0.2,A,scrfd,3069.9,674.1,3361.7,1192.8,0.599
5,0.2,B,both_agree,1747.3,172.0,2122.9,643.2,0.877
5,0.2,B,both_agree,532.7,628.5,864.9,1046.6,0.802
5,0.2,B,both_agree,2882.6,545.9,3192.3,1007.0,0.776
5,0.2,B,both_agree,3069.9,674.1,3361.7,1192.8,0.599
6,0.24,A,scrfd,1746.9,173.9,2121.6,643.2,0.875
6,0.24,A,scrfd,533.2,629.5,864.8,1046.6,0.801
6,0.24,A,scrfd,2874.7,551.9,3191.9,994.2,0.782
6,0.24,A,scrfd,3071.1,666.3,3367.8,1185.9,0.605
6,0.24,B,both_agree,1746.9,173.9,2121.6,643.2,0.875
6,0.24,B,both_agree,533.2,629.5,864.8,1046.6,0.801
6,0.24,B,both_agree,2874.7,551.9,3191.9,994.2,0.782
6,0.24,B,both_agree,3071.1,666.3,3367.8,1185.9,0.605
7,0.28,A,scrfd,1746.8,176.6,2120.5,642.7,0.872
7,0.28,A,scrfd,2865.1,546.7,3188.8,997.8,0.806
7,0.28,A,scrfd,534.0,629.5,864.9,1047.0,0.802
7,0.28,A,scrfd,3072.2,670.8,3368.0,1181.1,0.59
7,0.28,B,both_agree,1746.8,176.6,2120.5,642.7,0.872
7,0.28,B,both_agree,2865.1,546.7,3188.8,997.8,0.806
7,0.28,B,both_agree,534.0,629.5,864.9,1047.0,0.802
7,0.28,B,both_agree,3072.2,670.8,3368.0,1181.1,0.59
8,0.32,A,scrfd,1746.7,177.6,2120.8,642.3,0.868
8,0.32,A,scrfd,534.5,630.4,864.9,1047.1,0.801
8,0.32,A,scrfd,2856.4,550.2,3181.3,990.1,0.798
8,0.32,A,scrfd,3061.3,662.8,3369.9,1177.5,0.646
8,0.32,B,both_agree,1746.7,177.6,2120.8,642.3,0.868
8,0.32,B,both_agree,534.5,630.4,864.9,1047.1,0.801
8,0.32,B,both_agree,2856.4,550.2,3181.3,990.1,0.798
8,0.32,B,both_agree,3061.3,662.8,3369.9,1177.5,0.646
9,0.36,A,scrfd,1745.5,178.2,2121.0,642.3,0.865
9,0.36,A,scrfd,2850.8,548.5,3174.1,984.6,0.813
9,0.36,A,scrfd,535.2,629.8,865.2,1047.2,0.803
9,0.36,A,scrfd,3058.5,658.2,3371.3,1180.1,0.653
9,0.36,B,both_agree,1745.5,178.2,2121.0,642.3,0.865
9,0.36,B,both_agree,2850.8,548.5,3174.1,984.6,0.813
9,0.36,B,both_agree,535.2,629.8,865.2,1047.2,0.803
9,0.36,B,both_agree,3058.5,658.2,3371.3,1180.1,0.653
10,0.4,A,scrfd,1744.7,173.7,2120.6,643.3,0.87
10,0.4,A,scrfd,2846.1,547.0,3170.1,983.6,0.805
10,0.4,A,scrfd,535.6,630.3,865.5,1047.2,0.804
10,0.4,A,scrfd,3064.8,665.1,3368.2,1180.8,0.612
10,0.4,B,both_agree,1744.7,173.7,2120.6,643.3,0.87
10,0.4,B,both_agree,2846.1,547.0,3170.1,983.6,0.805
10,0.4,B,both_agree,535.6,630.3,865.5,1047.2,0.804
10,0.4,B,both_agree,3064.8,665.1,3368.2,1180.8,0.612
11,0.44,A,scrfd,1743.8,174.3,2117.9,644.3,0.869
11,0.44,A,scrfd,535.8,630.8,865.8,1046.5,0.806
11,0.44,A,scrfd,2842.2,546.9,3164.3,982.4,0.795
11,0.44,A,scrfd,3064.6,672.2,3364.0,1184.9,0.579
11,0.44,A,orphan_safetynet,1120.5,906.6,1553.8,1365.2,0.355
11,0.44,B,both_agree,1743.8,174.3,2117.9,644.3,0.869
11,0.44,B,both_agree,535.8,630.8,865.8,1046.5,0.806
11,0.44,B,both_agree,2842.2,546.9,3164.3,982.4,0.795
11,0.44,B,both_agree,3064.6,672.2,3364.0,1184.9,0.579
12,0.48,A,scrfd,1744.0,176.6,2116.4,643.2,0.868
12,0.48,A,scrfd,535.8,630.8,865.9,1045.6,0.809
12,0.48,A,scrfd,2838.9,546.6,3157.2,980.9,0.787
12,0.48,A,scrfd,3059.5,666.7,3362.7,1185.7,0.58
12,0.48,A,orphan_safetynet,1105.9,922.1,1558.9,1379.0,0.456
12,0.48,B,both_agree,1744.0,176.6,2116.4,643.2,0.868
12,0.48,B,both_agree,535.8,630.8,865.9,1045.6,0.809
12,0.48,B,both_agree,2838.9,546.6,3157.2,980.9,0.787
12,0.48,B,both_agree,3059.5,666.7,3362.7,1185.7,0.58
13,0.52,A,scrfd,1743.8,173.1,2115.0,642.3,0.869
13,0.52,A,scrfd,2831.9,546.9,3150.7,973.9,0.814
13,0.52,A,scrfd,536.6,630.8,866.3,1045.5,0.812
13,0.52,A,scrfd,3056.9,667.4,3363.5,1183.0,0.565
13,0.52,A,orphan_safetynet,1107.5,920.3,1562.6,1377.5,0.52
13,0.52,B,both_agree,1743.8,173.1,2115.0,642.3,0.869
13,0.52,B,both_agree,2831.9,546.9,3150.7,973.9,0.814
13,0.52,B,both_agree,536.6,630.8,866.3,1045.5,0.812
13,0.52,B,both_agree,3056.9,667.4,3363.5,1183.0,0.565
14,0.56,A,scrfd,1742.8,171.5,2116.0,640.2,0.868
14,0.56,A,scrfd,2825.8,542.6,3144.0,970.6,0.826
14,0.56,A,scrfd,536.3,630.8,866.7,1045.7,0.811
14,0.56,A,scrfd,3053.7,661.7,3363.2,1180.7,0.54
14,0.56,A,orphan_safetynet,1109.2,914.6,1561.2,1373.7,0.521
14,0.56,B,both_agree,1742.8,171.5,2116.0,640.2,0.868
14,0.56,B,both_agree,2825.8,542.6,3144.0,970.6,0.826
14,0.56,B,both_agree,536.3,630.8,866.7,1045.7,0.811
14,0.56,B,both_agree,3053.7,661.7,3363.2,1180.7,0.54
15,0.6,A,scrfd,1742.4,172.0,2114.2,638.2,0.87
15,0.6,A,scrfd,2817.7,538.1,3139.1,970.5,0.824
15,0.6,A,scrfd,536.6,631.1,867.2,1046.0,0.811
15,0.6,A,scrfd,3053.8,664.0,3360.5,1180.0,0.509
15,0.6,A,orphan_safetynet,1106.9,909.2,1559.5,1371.2,0.516
15,0.6,B,both_agree,1742.4,172.0,2114.2,638.2,0.87
15,0.6,B,both_agree,2817.7,538.1,3139.1,970.5,0.824
15,0.6,B,both_agree,536.6,631.1,867.2,1046.0,0.811
15,0.6,B,both_agree,3053.8,664.0,3360.5,1180.0,0.509
16,0.64,A,scrfd,1740.3,173.3,2114.0,636.0,0.87
16,0.64,A,scrfd,537.4,630.5,867.4,1046.2,0.813
16,0.64,A,scrfd,2806.7,531.6,3136.2,967.5,0.806
16,0.64,A,orphan_safetynet,1105.7,906.5,1559.1,1369.3,0.529
16,0.64,B,both_agree,1740.3,173.3,2114.0,636.0,0.87
16,0.64,B,both_agree,537.4,630.5,867.4,1046.2,0.813
16,0.64,B,both_agree,2806.7,531.6,3136.2,967.5,0.806
16,0.64,B,yoloface_only,3061.8,671.0,3346.8,1198.7,0.572
17,0.68,A,scrfd,1738.4,166.6,2113.1,636.9,0.872
17,0.68,A,scrfd,538.4,631.3,867.4,1045.2,0.815
17,0.68,A,scrfd,2801.6,527.7,3128.2,963.5,0.79
17,0.68,A,orphan_safetynet,1104.8,906.6,1559.7,1369.4,0.502
17,0.68,B,both_agree,1738.4,166.6,2113.1,636.9,0.872
17,0.68,B,both_agree,538.4,631.3,867.4,1045.2,0.815
17,0.68,B,both_agree,2801.6,527.7,3128.2,963.5,0.79
17,0.68,B,yoloface_only,3056.1,638.4,3347.4,1211.6,0.585
18,0.72,A,scrfd,1737.3,163.7,2112.9,635.0,0.873
18,0.72,A,scrfd,538.9,630.8,867.9,1045.9,0.813
18,0.72,A,scrfd,2798.9,523.3,3121.5,963.9,0.784
18,0.72,A,orphan_safetynet,1107.5,906.5,1558.2,1369.3,0.459
18,0.72,B,both_agree,1737.3,163.7,2112.9,635.0,0.873
18,0.72,B,both_agree,538.9,630.8,867.9,1045.9,0.813
18,0.72,B,both_agree,2798.9,523.3,3121.5,963.9,0.784
18,0.72,B,yoloface_only,3055.4,636.3,3348.0,1214.7,0.577
19,0.76,A,scrfd,1736.5,160.6,2113.8,631.1,0.872
19,0.76,A,scrfd,539.0,630.5,868.3,1046.3,0.81
19,0.76,A,scrfd,2794.8,520.2,3114.9,959.6,0.797
19,0.76,A,orphan_safetynet,1107.9,907.7,1557.7,1370.0,0.483
19,0.76,B,both_agree,1736.5,160.6,2113.8,631.1,0.872
19,0.76,B,both_agree,539.0,630.5,868.3,1046.3,0.81
19,0.76,B,both_agree,2794.8,520.2,3114.9,959.6,0.797
19,0.76,B,yoloface_only,3055.4,636.9,3346.7,1211.8,0.588
20,0.8,A,scrfd,1735.0,161.9,2114.1,630.8,0.874
20,0.8,A,scrfd,539.1,630.6,868.9,1045.9,0.81
20,0.8,A,scrfd,2791.6,519.7,3108.2,956.1,0.791
20,0.8,A,scrfd,3050.8,653.6,3366.1,1179.9,0.533
20,0.8,A,orphan_safetynet,1109.9,910.5,1557.2,1371.8,0.478
20,0.8,B,both_agree,1735.0,161.9,2114.1,630.8,0.874
20,0.8,B,both_agree,539.1,630.6,868.9,1045.9,0.81
20,0.8,B,both_agree,2791.6,519.7,3108.2,956.1,0.791
20,0.8,B,both_agree,3050.8,653.6,3366.1,1179.9,0.533
21,0.84,A,scrfd,1733.7,161.6,2112.9,630.9,0.873
21,0.84,A,scrfd,2789.3,517.7,3099.8,955.9,0.818
21,0.84,A,scrfd,539.4,629.9,869.3,1046.7,0.809
21,0.84,A,scrfd,3053.1,652.1,3366.3,1179.4,0.556
21,0.84,A,orphan_safetynet,1109.3,912.4,1556.5,1373.3,0.494
21,0.84,B,both_agree,1733.7,161.6,2112.9,630.9,0.873
21,0.84,B,both_agree,2789.3,517.7,3099.8,955.9,0.818
21,0.84,B,both_agree,539.4,629.9,869.3,1046.7,0.809
21,0.84,B,both_agree,3053.1,652.1,3366.3,1179.4,0.556
22,0.88,A,scrfd,1733.3,159.2,2112.4,631.0,0.875
22,0.88,A,scrfd,2778.1,516.3,3096.0,956.5,0.822
22,0.88,A,scrfd,540.0,630.5,869.4,1047.5,0.806
22,0.88,A,scrfd,3051.8,648.1,3365.7,1179.7,0.577
22,0.88,A,orphan_safetynet,1108.5,912.5,1555.9,1373.2,0.5
22,0.88,B,both_agree,1733.3,159.2,2112.4,631.0,0.875
22,0.88,B,both_agree,2778.1,516.3,3096.0,956.5,0.822
22,0.88,B,both_agree,540.0,630.5,869.4,1047.5,0.806
22,0.88,B,both_agree,3051.8,648.1,3365.7,1179.7,0.577
23,0.92,A,scrfd,1732.5,158.3,2111.0,630.9,0.874
23,0.92,A,scrfd,2777.8,515.8,3090.8,956.3,0.826
23,0.92,A,scrfd,540.4,630.2,869.4,1048.4,0.803
23,0.92,A,scrfd,3053.9,653.1,3360.4,1178.1,0.579
23,0.92,A,orphan_safetynet,1111.1,910.2,1552.8,1371.4,0.514
23,0.92,B,both_agree,1732.5,158.3,2111.0,630.9,0.874
23,0.92,B,both_agree,2777.8,515.8,3090.8,956.3,0.826
23,0.92,B,both_agree,540.4,630.2,869.4,1048.4,0.803
23,0.92,B,both_agree,3053.9,653.1,3360.4,1178.1,0.579
24,0.96,A,scrfd,1731.4,151.7,2110.0,632.1,0.876
24,0.96,A,scrfd,2769.1,515.8,3087.4,956.4,0.819
24,0.96,A,scrfd,539.8,631.0,869.7,1048.8,0.8
24,0.96,A,scrfd,3053.2,655.6,3355.0,1180.2,0.58
24,0.96,A,orphan_safetynet,1109.4,913.8,1549.8,1373.7,0.486
24,0.96,B,both_agree,1731.4,151.7,2110.0,632.1,0.876
24,0.96,B,both_agree,2769.1,515.8,3087.4,956.4,0.819
24,0.96,B,both_agree,539.8,631.0,869.7,1048.8,0.8
24,0.96,B,both_agree,3053.2,655.6,3355.0,1180.2,0.58
25,1.0,A,scrfd,1730.2,151.4,2109.3,631.8,0.876
25,1.0,A,scrfd,2762.8,517.2,3078.5,957.0,0.821
25,1.0,A,scrfd,536.9,632.4,871.1,1046.3,0.801
25,1.0,A,scrfd,3052.9,657.3,3353.9,1184.3,0.588
25,1.0,A,orphan_safetynet,1106.8,915.0,1550.9,1374.9,0.479
25,1.0,B,both_agree,1730.2,151.4,2109.3,631.8,0.876
25,1.0,B,both_agree,2762.8,517.2,3078.5,957.0,0.821
25,1.0,B,both_agree,536.9,632.4,871.1,1046.3,0.801
25,1.0,B,both_agree,3052.9,657.3,3353.9,1184.3,0.588
26,1.04,A,scrfd,1730.0,150.3,2108.7,631.9,0.877
26,1.04,A,scrfd,2754.2,517.2,3074.3,959.0,0.809
26,1.04,A,scrfd,537.7,632.7,871.4,1046.7,0.805
26,1.04,A,scrfd,3052.7,649.6,3351.4,1190.7,0.59
26,1.04,A,orphan_safetynet,1110.0,914.4,1550.6,1374.7,0.444
26,1.04,B,both_agree,1730.0,150.3,2108.7,631.9,0.877
26,1.04,B,both_agree,2754.2,517.2,3074.3,959.0,0.809
26,1.04,B,both_agree,537.7,632.7,871.4,1046.7,0.805
26,1.04,B,both_agree,3052.7,649.6,3351.4,1190.7,0.59
27,1.08,A,scrfd,1730.2,150.2,2108.0,631.5,0.875
27,1.08,A,scrfd,2749.3,518.0,3070.6,957.3,0.81
27,1.08,A,scrfd,537.5,632.0,871.5,1047.3,0.803
27,1.08,A,scrfd,3053.5,658.5,3346.4,1196.1,0.594
27,1.08,A,orphan_safetynet,1107.2,916.2,1551.4,1375.3,0.404
27,1.08,B,both_agree,1730.2,150.2,2108.0,631.5,0.875
27,1.08,B,both_agree,2749.3,518.0,3070.6,957.3,0.81
27,1.08,B,both_agree,537.5,632.0,871.5,1047.3,0.803
27,1.08,B,both_agree,3053.5,658.5,3346.4,1196.1,0.594
28,1.12,A,scrfd,1730.4,149.0,2107.0,631.2,0.875
28,1.12,A,scrfd,537.9,631.5,871.9,1047.1,0.802
28,1.12,A,scrfd,2749.7,517.6,3066.2,957.5,0.802
28,1.12,A,scrfd,3054.3,661.1,3345.5,1193.6,0.6
28,1.12,A,orphan_safetynet,1107.1,917.0,1546.9,1375.6,0.345
28,1.12,B,both_agree,1730.4,149.0,2107.0,631.2,0.875
28,1.12,B,both_agree,537.9,631.5,871.9,1047.1,0.802
28,1.12,B,both_agree,2749.7,517.6,3066.2,957.5,0.802
28,1.12,B,both_agree,3054.3,661.1,3345.5,1193.6,0.6
29,1.16,A,scrfd,1730.3,148.1,2108.4,630.8,0.877
29,1.16,A,scrfd,538.6,631.0,872.1,1047.3,0.802
29,1.16,A,scrfd,2745.5,521.5,3059.6,955.9,0.789
29,1.16,A,scrfd,3052.7,662.7,3345.9,1191.7,0.621
29,1.16,B,both_agree,1730.3,148.1,2108.4,630.8,0.877
29,1.16,B,both_agree,538.6,631.0,872.1,1047.3,0.802
29,1.16,B,both_agree,2745.5,521.5,3059.6,955.9,0.789
29,1.16,B,both_agree,3052.7,662.7,3345.9,1191.7,0.621
30,1.2,A,scrfd,1730.9,146.5,2109.9,630.2,0.878
30,1.2,A,scrfd,2741.3,521.7,3056.1,955.7,0.807
30,1.2,A,scrfd,543.2,629.5,870.8,1049.7,0.803
30,1.2,A,scrfd,3050.6,664.9,3346.1,1195.3,0.616
30,1.2,B,both_agree,1730.9,146.5,2109.9,630.2,0.878
